,player_name,player_serve_win_ratio,player_return_win_ratio,player_bp_per_game,player_bp_conversion_ratio,player_game_win_ratio,player_point_win_ratio,player_clutch_factor,player_win_rank_weight,player_win_elo_weight,player_game_win_ratio_rank_weighted,player_point_win_ratio_rank_weighted,player_game_win_ratio_elo_weighted,player_point_win_ratio_elo_weighted,player_rank,player_log_rank,player_rank_points,player_log_rank_points,player_ht,player_old_elo
0,Adrian Mannarino,0.6515545267815831,0.381882869783011,0.5720540647623981,0.44692753234419885,0.5302081508706841,0.5164999099511226,0.013708240919561384,0.27596305087767137,2.1755721794894076e-10,0.516268483039936,0.5034945689897553,-12.147448561299326,-14.920145018655186,43.0,3.7612001156935624,1111.0,7.01301578963963,183.0,2271.6723619255563
1,Albert Ramos,0.6304513254648116,0.3560836814599513,0.49388753607503577,0.43814484126984093,0.5097030104169976,0.4957630469871138,0.013939963429884013,0.3424176729817089,7.083740070254421e-11,0.5412273569957305,0.5275147802710183,-42.575469186582964,-45.838522693494944,42.0,3.7376696182833684,1130.0,7.029972911706386,188.0,2289.637888598187
2,Alejandro Davidovich Fokina,0.6273072171200808,0.4341651658221628,0.7005861853288322,0.5411120129870127,0.5687634014335864,0.5300203122104579,0.03874308922312874,0.062027512334103696,2.5673850624320087e-09,0.4736354733843134,0.44321045380353086,78.29034229770512,71.82155045161572,93.0,4.532599493153256,591.0,6.3818160174060985,185.29831782390838,2212.825082524974
3,Alex De Minaur,0.6921273876598997,0.3796691698857984,0.5461348734169857,0.4338724358667546,0.5537892921752627,0.5315356205247812,0.02225367165048165,0.4353618849829848,1.705945693653348e-10,0.5169014989951156,0.4964373991840567,35.65636800049313,31.7246953897483,18.0,2.8903717578961645,1775.0,7.4815557019095165,185.29831782390838,2427.9977051922274
4,Alexander Bublik,0.6566536383878013,0.3509402822723275,0.5178390029817992,0.4149263082596415,0.5183141520231166,0.5041954388847706,0.014118713138346142,0.1644114487339537,4.992996817178728e-09,0.4651401696385219,0.454145453382481,29.604208533629567,26.690116001706258,57.0,4.04305126783455,919.0,6.823286122355687,185.29831782390838,2173.842351104471
5,Alexander Zverev,0.6827120204490549,0.3767412476845173,0.642166135228795,0.3850987527264616,0.5396164360062978,0.5237219198652769,0.01589451614102164,0.38813004133452017,4.832118405035626e-09,0.47583339579073003,0.4648272918196601,91.25961508338108,84.09087364633922,7.0,1.9459101490553132,2945.0,7.987864096085687,198.0,2478.5982590030267
6,Alexei Popyrin,0.617064557527683,0.32032362753723775,0.3637619189089775,0.3438775510204079,0.44410121927080004,0.4752351159105881,-0.031133896639786898,0.15753347291479555,9.516645165804408e-10,0.4630815303573241,0.49950565574990946,-16.022910987961716,-21.464100140112244,96.0,4.564348191467836,585.0,6.371611847231857,184.9861034924118,2237.34492027668
7,Aljaz Bedene,0.6701718732281374,0.37386018363227447,0.6093702850215453,0.40511887583316136,0.5506975345855748,0.5185246366014395,0.03217289798413657,0.23872003473361114,1.3479369876087375e-09,0.4786503326479871,0.4548081096120441,61.00276982533831,53.76237692680674,72.0,4.276666119016055,795.0,6.678342114654332,181.0,2313.0281863951745
8,Andreas Seppi,0.6321981053945512,0.3746401394425644,0.5966200372026161,0.3946337034006716,0.5074348407329982,0.5040357352057192,0.003399105527279729,0.19993485912678338,1.0404425113295756e-09,0.45665859459308833,0.45721723727664876,25.2109368700957,20.448150127187773,74.0,4.30406509320417,760.0,6.633318433280377,190.0,2241.5070867632417
9,Andrey Rublev,0.6606110086433249,0.40511344357411344,0.7057541922685853,0.4499779771056367,0.558490738783264,0.5293490786964642,0.029141660086800414,0.39905468670806665,2.271312549558737e-10,0.5504041968047354,0.5253673923054997,23.500678682656105,17.978451060882705,23.0,3.1354942159291497,1584.0,7.367708572374371,185.29831782390838,2431.0838260072514
10,Benoit Paire,0.6124292619318012,0.3529831034505513,0.5421613144092139,0.41982537512612705,0.4719900192323066,0.48416138759487887,-0.012171368362571346,0.20141683019497195,2.9104457571712736e-10,0.4364719101504667,0.4504008627312973,20.611035738052383,13.8760574342897,24.0,3.1780538303479458,1538.0,7.338238150065589,196.0,2285.4970277932425
11,Borna Coric,0.643307488220424,0.3287602924121372,0.42594207994010674,0.37497524480806654,0.47100511654484595,0.48681195190604165,-0.015806835361194475,0.21870081299580602,2.925469214484154e-10,0.4182666416044383,0.4353388116022531,63.6591187000661,60.863280132707445,28.0,3.332204510175204,1415.0,7.254884810077338,184.9861034924118,2307.9759962937096
12,Brayden Schnur,0.6386951189813201,0.35347463887596936,0.519253098881127,0.3859573433102845,0.5072065388892993,0.5004240353188026,0.006782503570497486,0.07709646549593623,1.887594788191553e-08,0.4022679344089937,0.40059807701348266,36.63512406164909,31.578067534560727,93.0,4.532599493153256,602.0,6.400257445308821,184.9861034924118,2066.2758538334037
13,Cameron Norrie,0.6276685101768024,0.3612505264814645,0.5774849775412003,0.3628716947938917,0.5018096047936013,0.49299335957041024,0.008816245223193141,0.24900028403796573,1.1245152512654672e-10,0.49278039150506203,0.48589756155257546,-30.01053497321434,-33.8337359041479,57.0,4.04305126783455,960.0,6.866933284461882,184.9861034924118,2260.3175011549993
14,Carlos Berlocq,0.6320754716981677,0.33333333333331766,0.7500000000000189,0.1666666666666695,0.45454545454542866,0.4813084112149714,-0.026762956669498017,0.0,1.5887037639846588e-22,0.406383753409251,0.4303110211333447,17.148056912846297,18.15770886191962,199.0,5.293304824724492,243.0,5.493061443340548,183.0,1997.7470012966992
15,Casper Ruud,0.6097426505071338,0.3262145557983151,0.5100470957613827,0.3609461966604825,0.45487759855149923,0.4755195235693542,-0.020641925017851816,0.107024854135374,1.619011641349429e-10,0.4475070481417573,0.4697793024009827,-1.4591738635351335,-5.938505767581553,63.0,4.143134726391533,931.0,6.836259277277067,184.9861034924118,2246.4686666859693
16,Christian Garin,0.65375168217912,0.3254794144016194,0.44935623822178544,0.4281711674568818,0.47866798241263697,0.4899607894571748,-0.011292807044535816,0.30800419217033753,1.2171966820523125e-10,0.4688498182490241,0.48034686612928,-10.466756218094142,-11.889433961344995,33.0,3.4965075614664802,1297.0,7.167809184316444,185.29831782390838,2274.6173607909377
17,Corentin Moutet,0.6037339188342172,0.3957206553195804,0.6510586064262541,0.4792714692714694,0.5213919954672417,0.5021369404874755,0.01925505497976748,0.06879628787225611,1.7566404648335282e-09,0.4164802632247889,0.40891566792302864,22.515368253254493,17.94287870449516,97.0,4.574710978503383,584.0,6.369900982828227,184.9861034924118,2113.4531910810533
18,Daniel Evans,0.6344645241312075,0.37995978679289866,0.586273376872117,0.42227170977170964,0.5151225847013463,0.5060387933517165,0.009083791349630575,0.21278116018017185,2.1944167010662918e-09,0.4969128819655784,0.49259042204094267,41.61131408804202,32.59474585262558,42.0,3.7376696182833684,1124.0,7.024649030453636,175.0,2264.304655869492
19,Daniil Medvedev,0.6964328583938976,0.4087392197992419,0.6730957921495011,0.44375861067037525,0.5899724520510143,0.5468857337695995,0.043086718281415456,0.4827289638404043,1.4069139191762469e-10,0.5415485101316118,0.5023153314359924,104.75934471175286,93.69565085706061,4.0,1.3862943611198906,5705.0,8.649098262296176,184.9861034924118,2564.2380460691775
20,David Goffin,0.6351562411807656,0.39088210503344795,0.6244534938348213,0.4469511304194327,0.5200621076058366,0.5121180749957362,0.007944032610101421,0.3014863528121918,1.359510002696452e-10,0.47803482181637275,0.4720699660583422,69.45372482528356,63.96715636959897,11.0,2.3978952727983707,2335.0,7.755767170102998,163.0,2426.739618642938
